year,team,team_name,division,G,W,L,ties,win_pct,p_win_pct,finish,gb,playoffs,R,RA,attendance,bat_age,pitch_age,num_bat,num_pitch,top_player,managers
2003,LAD,Los Angeles Dodgers,NL West,162,85,77,0,.525,.515,2nd of 5,15.5,,574,556,"3,138,626",29.9,31.2,44,19,K.Brown (4.5),J.Tracy (85-77)
2002,LAD,Los Angeles Dodgers,NL West,162,92,70,0,.568,.547,3rd of 5,6.0,,713,643,"3,131,255",30.0,31.0,41,19,S.Green (6.9),J.Tracy (92-70)
2001,LAD,Los Angeles Dodgers,NL West,162,86,76,0,.531,.509,3rd of 5,6.0,,758,744,"3,017,143",30.2,30.5,41,21,S.Green (6.9),J.Tracy (86-76)
2000,LAD,Los Angeles Dodgers,NL West,162,86,76,0,.531,.541,2nd of 5,11.0,,798,729,"2,880,242",29.6,29.5,46,21,K.Brown (6.7),D.Johnson (86-76)
1999,LAD,Los Angeles Dodgers,NL West,162,77,85,0,.475,.503,3rd of 5,23.0,,793,787,"3,095,346",29.2,28.6,43,21,K.Brown (5.6),D.Johnson (77-85)
1998,LAD,Los Angeles Dodgers,NL West,162,83,79,0,.512,.494,3rd of 5,15.0,,669,678,"3,089,222",28.3,27.6,53,25,G.Sheffield (3.4),B.Russell (36-38) and G.Hoffman (47-41)
1997,LAD,Los Angeles Dodgers,NL West,162,88,74,0,.543,.564,2nd of 4,2.0,,742,645,"3,319,504",29.3,28.8,44,16,M.Piazza (8.7),B.Russell (88-74)
1996,LAD,Los Angeles Dodgers,NL West,162,90,72,0,.556,.534,2nd of 4,1.0,Lost LDS (3-0),703,652,"3,188,454",27.9,28.2,40,15,M.Piazza (5.4),T.Lasorda (41-35) and B.Russell (49-37)
1995,LAD,Los Angeles Dodgers,NL West,144,78,66,0,.542,.518,1st of 4,--,Lost LDS (3-0),634,609,"2,766,251",27.4,27.7,49,21,M.Piazza (6.2),T.Lasorda (78-66)
1994,LAD,Los Angeles Dodgers,NL West,114,58,56,0,.509,.520,1st of 4,--,,532,509,"2,279,355",28.7,30.0,35,16,K.Gross (3.9),T.Lasorda (58-56)
1993,LAD,Los Angeles Dodgers,NL West,162,81,81,0,.500,.509,4th of 7,23.0,,675,662,"3,170,393",28.8,29.1,35,15,M.Piazza (7.0),T.Lasorda (81-81)
1992,LAD,Los Angeles Dodgers,NL West,162,63,99,0,.389,.432,6th of 6,35.0,,548,636,"2,473,266",28.4,31.2,36,14,B.Butler (4.8),T.Lasorda (63-99)
1991,LAD,Los Angeles Dodgers,NL West,162,93,69,0,.574,.574,2nd of 6,1.0,,665,565,"3,348,170",30.2,30.2,39,16,B.Butler (5.1),T.Lasorda (93-69)
1990,LAD,Los Angeles Dodgers,NL West,162,86,76,0,.531,.528,2nd of 6,5.0,,728,685,"3,002,396",29.7,28.2,46,21,E.Murray (5.1),T.Lasorda (86-76)
2016,MIA,Miami Marlins,NL East,161,79,82,0,.491,.482,3rd of 5,15.5,,655,682,"1,712,417",28.3,28.0,53,31,C.Yelich (5.2),D.Mattingly (79-82)
2015,MIA,Miami Marlins,NL East,162,71,91,0,.438,.454,3rd of 5,19.0,,613,678,"1,752,235",27.9,27.3,51,29,D.Gordon (5.1),M.Redmond (16-22) and D.Jennings (55-69)
2014,MIA,Miami Marlins,NL East,162,77,85,0,.475,.480,4th of 5,19.0,,645,674,"1,732,283",27.4,26.4,45,25,G.Stanton (6.6),M.Redmond (77-85)
2013,MIA,Miami Marlins,NL East,162,62,100,0,.383,.396,5th of 5,34.0,,513,646,"1,586,322",27.7,26.0,53,26,J.Fernandez (6.7),M.Redmond (62-100)
2012,MIA,Miami Marlins,NL East,162,69,93,0,.426,.422,5th of 5,29.0,,609,724,"2,219,444",28.3,28.8,45,21,G.Stanton (5.4),O.Guillen (69-93)
2011,MIA,Florida Marlins,NL East,162,72,90,0,.444,.447,5th of 5,30.0,,625,702,"1,520,562",27.4,28.0,44,22,G.Stanton (4.1),"E.Rodriguez (32-39), B.Hyde (0-1) and J.McKeon (40-50)"
2010,MIA,Florida Marlins,NL East,162,80,82,0,.494,.501,3rd of 5,17.0,,719,717,"1,524,894",26.9,27.1,57,31,J.Johnson (6.6),F.Gonzalez (34-36) and E.Rodriguez (46-46)
2009,MIA,Florida Marlins,NL East,162,87,75,0,.537,.504,2nd of 5,6.0,,772,766,"1,464,109",27.0,26.3,44,27,J.Johnson (7.4),F.Gonzalez (87-75)
2008,MIA,Florida Marlins,NL East,161,84,77,0,.522,.502,3rd of 5,7.5,,770,767,"1,335,076",28.0,26.6,45,22,H.Ramirez (6.7),F.Gonzalez (84-77)
2007,MIA,Florida Marlins,NL East,162,71,91,0,.438,.445,5th of 5,18.0,,790,891,"1,370,511",26.7,26.2,50,30,H.Ramirez (4.3),F.Gonzalez (71-91)
2006,MIA,Florida Marlins,NL East,162,78,84,0,.481,.492,4th of 5,19.0,,758,772,"1,164,134",25.6,25.9,40,21,M.Cabrera (5.8),J.Girardi (78-84)
2005,MIA,Florida Marlins,NL East,162,83,79,0,.512,.491,3rd of 5,7.0,,717,732,"1,852,608",29.7,29.5,47,27,D.Willis (8.4),J.McKeon (83-79)
2004,MIA,Florida Marlins,NL East,162,83,79,0,.512,.512,3rd of 5,13.0,,718,700,"1,723,105",28.8,27.8,45,25,C.Pavano (5.8),J.McKeon (83-79)
2003,MIA,Florida Marlins,NL East,162,91,71,0,.562,.537,2nd of 5,10.0,Won WS (4-2),751,692,"1,303,215",27.7,26.3,40,22,D.Willis (4.4),J.Torborg (16-22) and J.McKeon (75-49)
2002,MIA,Florida Marlins,NL East,162,79,83,0,.488,.460,4th of 5,23.0,,699,763,"813,118",28.4,26.1,41,21,A.Burnett (4.0),J.Torborg (79-83)
2001,MIA,Florida Marlins,NL East,162,76,86,0,.469,.499,4th of 5,12.0,,742,744,"1,261,226",27.3,26.5,42,23,C.Floyd (6.6),J.Boles (22-26) and T.Perez (54-60)
2000,MIA,Florida Marlins,NL East,161,79,82,0,.491,.461,3rd of 5,15.5,,731,797,"1,218,326",26.1,26.7,40,18,L.Castillo (4.5),J.Boles (79-82)
1999,MIA,Florida Marlins,NL East,162,64,98,0,.395,.405,5th of 5,39.0,,691,852,"1,369,421",25.2,26.0,44,21,A.Fernandez (3.4),J.Boles (64-98)
1998,MIA,Florida Marlins,NL East,162,54,108,0,.333,.356,5th of 5,52.0,,667,923,"1,730,384",25.4,24.5,49,22,M.Kotsay (3.9),J.Leyland (54-108)
1997,MIA,Florida Marlins,NL East,162,92,70,0,.568,.546,2nd of 5,9.0,Won WS (4-3),740,669,"2,364,387",28.5,27.5,43,20,K.Brown (6.8),J.Leyland (92-70)
1996,MIA,Florida Marlins,NL East,162,80,82,0,.494,.490,3rd of 5,16.0,,688,703,"1,746,767",27.9,28.0,46,23,K.Brown (7.8),"R.Lachemann (39-47), C.Rojas (1-0) and J.Boles (40-35)"
1995,MIA,Florida Marlins,NL East,143,67,76,0,.469,.500,4th of 5,22.5,,673,673,"1,700,466",28.1,28.3,46,27,C.Hammond (3.2),R.Lachemann (67-76)
1994,MIA,Florida Marlins,NL East,115,51,64,0,.443,.406,5th of 5,23.5,,468,576,"1,937,467",27.6,29.0,42,20,J.Conine (2.8),R.Lachemann (51-64)
1993,MIA,Florida Marlins,NL East,162,64,98,0,.395,.401,6th of 7,33.0,,581,724,"3,064,847",27.7,29.7,43,18,B.Harvey (4.0),R.Lachemann (64-98)
2016,MIL,Milwaukee Brewers,NL Central,162,73,89,0,.451,.460,4th of 5,30.5,,671,733,"2,314,614",27.5,28.1,50,27,R.Braun (4.5),C.Counsell (73-89)
2015,MIL,Milwaukee Brewers,NL Central,162,68,94,0,.420,.446,4th of 5,32.0,,655,737,"2,542,558",28.1,28.4,49,26,R.Braun (3.8),R.Roenicke (7-18) and C.Counsell (61-76)
2014,MIL,Milwaukee Brewers,NL Central,162,82,80,0,.506,.495,3rd of 5,8.0,,650,657,"2,797,384",28.8,29.0,40,21,J.Lucroy (6.7),R.Roenicke (82-80)
2013,MIL,Milwaukee Brewers,NL Central,162,74,88,0,.457,.468,4th of 5,23.0,,640,687,"2,531,105",27.9,28.8,40,21,C.Gomez (8.5),R.Roenicke (74-88)
2012,MIL,Milwaukee Brewers,NL Central,162,83,79,0,.512,.526,3rd of 6,14.0,,776,733,"2,831,385",29.2,29.0,46,23,R.Braun (6.9),R.Roenicke (83-79)
2011,MIL,Milwaukee Brewers,NL Central,162,96,66,0,.593,.556,1st of 6,--,Lost NLCS (4-2),721,638,"3,071,373",28.9,29.3,48,22,R.Braun (7.8),R.Roenicke (96-66)
2010,MIL,Milwaukee Brewers,NL Central,162,77,85,0,.475,.468,3rd of 6,14.0,,750,804,"2,776,531",27.8,29.2,43,25,R.Braun (5.7),K.Macha (77-85)
2009,MIL,Milwaukee Brewers,NL Central,162,80,82,0,.494,.481,3rd of 6,11.0,,785,818,"3,037,451",29.3,30.0,45,23,P.Fielder (6.3),K.Macha (80-82)
2008,MIL,Milwaukee Brewers,NL Central,162,90,72,0,.556,.539,2nd of 6,7.5,Lost LDS (3-1),750,689,"3,068,458",28.7,29.9,44,20,C.Sabathia (5.2),N.Yost (83-67) and D.Sveum (7-5)
2007,MIL,Milwaukee Brewers,NL Central,162,83,79,0,.512,.515,2nd of 6,2.0,,801,776,"2,869,144",27.7,29.1,40,21,C.Hart (4.7),N.Yost (83-79)
2006,MIL,Milwaukee Brewers,NL Central,162,75,87,0,.463,.440,4th of 6,8.5,,730,833,"2,335,643",28.8,28.3,49,27,B.Hall (5.8),N.Yost (75-87)
2005,MIL,Milwaukee Brewers,NL Central,162,81,81,0,.500,.519,3rd of 6,19.0,,726,697,"2,211,023",28.4,28.0,39,19,G.Jenkins (4.6),N.Yost (81-81)
2004,MIL,Milwaukee Brewers,NL Central,161,67,94,0,.416,.420,6th of 6,37.5,,634,757,"2,062,382",28.5,27.2,41,22,B.Sheets (7.3),N.Yost (67-94)
2003,MIL,Milwaukee Brewers,NL Central,162,68,94,0,.420,.409,6th of 6,20.0,,714,873,"1,700,354",29.8,27.6,42,23,S.Podsednik (3.6),N.Yost (68-94)
2002,MIL,Milwaukee Brewers,NL Central,162,56,106,0,.346,.379,6th of 6,41.0,,627,821,"1,969,153",29.9,26.8,49,25,J.Hernandez (4.4),D.Lopes (3-12) and J.Royster (53-94)
2001,MIL,Milwaukee Brewers,NL Central,162,68,94,0,.420,.461,4th of 6,25.0,,740,806,"2,811,041",29.4,27.3,46,24,R.Belliard (3.5),D.Lopes (68-94)
2000,MIL,Milwaukee Brewers,NL Central,163,73,89,1,.451,.450,3rd of 6,22.0,,740,826,"1,573,621",28.8,27.4,46,24,J.D'Amico (4.8),D.Lopes (73-89)
1999,MIL,Milwaukee Brewers,NL Central,161,74,87,0,.460,.462,5th of 6,22.5,,815,886,"1,701,796",28.1,28.2,44,24,J.Cirillo (4.8),P.Garner (52-60) and J.Lefebvre (22-27)
1998,MIL,Milwaukee Brewers,NL Central,162,74,88,0,.457,.437,5th of 6,28.0,,707,812,"1,811,593",28.4,28.1,43,23,J.Cirillo (5.9),P.Garner (74-88)
1997,MIL,Milwaukee Brewers,AL Central,161,78,83,0,.484,.461,3rd of 5,8.0,,681,742,"1,444,027",28.1,28.3,44,21,J.Cirillo (5.3),P.Garner (78-83)
1996,MIL,Milwaukee Brewers,AL Central,162,80,82,0,.494,.497,3rd of 5,19.5,,894,899,"1,327,155",27.8,27.2,48,24,B.McDonald (5.4),P.Garner (80-82)
1995,MIL,Milwaukee Brewers,AL Central,144,65,79,0,.451,.496,4th of 5,35.0,,740,747,"1,087,560",27.9,27.3,41,22,R.Bones (3.4),P.Garner (65-79)
1994,MIL,Milwaukee Brewers,AL Central,115,53,62,0,.461,.469,5th of 5,15.0,,547,586,"1,268,399",28.0,28.3,36,15,R.Bones (4.0),P.Garner (53-62)
1993,MIL,Milwaukee Brewers,AL East,162,69,93,0,.426,.465,7th of 7,26.0,,733,792,"1,688,080",28.4,27.3,40,18,G.Vaughn (6.7),P.Garner (69-93)
1992,MIL,Milwaukee Brewers,AL East,162,92,70,0,.568,.592,2nd of 7,4.0,,740,604,"1,857,351",29.7,27.5,35,15,B.Wegman (4.9),P.Garner (92-70)
1991,MIL,Milwaukee Brewers,AL East,162,83,79,0,.512,.533,4th of 7,8.0,,799,744,"1,478,729",30.1,27.0,39,21,P.Molitor (5.3),T.Trebelhorn (83-79)
1990,MIL,Milwaukee Brewers,AL East,162,74,88,0,.457,.483,6th of 7,14.0,,732,760,"1,752,900",29.4,28.6,43,22,R.Robinson (3.3),T.Trebelhorn (74-88)
2016,MIN,Minnesota Twins,AL Central,162,59,103,0,.364,.406,5th of 5,35.5,,722,889,"1,963,912",27.0,28.3,49,29,B.Dozier (6.4),P.Molitor (59-103)
2015,MIN,Minnesota Twins,AL Central,162,83,79,0,.512,.497,2nd of 5,12.0,,696,700,"2,220,054",28.3,29.1,44,24,K.Gibson (3.0),P.Molitor (83-79)
2014,MIN,Minnesota Twins,AL Central,162,70,92,0,.432,.462,5th of 5,20.0,,715,777,"2,250,606",27.6,29.2,48,23,B.Dozier (5.2),R.Gardenhire (70-92)
2013,MIN,Minnesota Twins,AL Central,162,66,96,0,.407,.388,4th of 5,27.0,,614,788,"2,477,644",28.3,28.3,44,23,J.Mauer (5.3),R.Gardenhire (66-96)
2012,MIN,Minnesota Twins,AL Central,162,66,96,0,.407,.422,5th of 5,22.0,,701,832,"2,776,354",28.8,27.8,47,25,D.Span (5.0),R.Gardenhire (66-96)
2011,MIN,Minnesota Twins,AL Central,162,63,99,0,.389,.383,5th of 5,32.0,,619,804,"3,168,116",27.6,28.5,45,24,S.Baker (4.4),R.Gardenhire (63-99)
2010,MIN,Minnesota Twins,AL Central,162,94,68,0,.580,.569,1st of 5,--,Lost LDS (3-0),781,671,"3,223,640",28.5,28.6,42,21,J.Mauer (5.9),R.Gardenhire (94-68)
2009,MIN,Minnesota Twins,AL Central,163,87,76,0,.534,.530,1st of 5,--,Lost LDS (3-0),817,765,"2,416,237",27.7,27.9,42,24,J.Mauer (7.8),R.Gardenhire (87-76)
2008,MIN,Minnesota Twins,AL Central,163,88,75,0,.540,.549,2nd of 5,1.0,,829,745,"2,302,431",26.4,27.5,40,19,J.Mauer (5.6),R.Gardenhire (88-75)
2007,MIN,Minnesota Twins,AL Central,162,79,83,0,.488,.496,3rd of 5,17.0,,718,725,"2,296,383",28.4,27.4,42,19,J.Santana (5.2),R.Gardenhire (79-83)
2006,MIN,Minnesota Twins,AL Central,162,96,66,0,.593,.572,1st of 5,--,Lost LDS (3-0),801,683,"2,285,018",28.2,26.9,39,17,J.Santana (7.6),R.Gardenhire (96-66)
2005,MIN,Minnesota Twins,AL Central,162,83,79,0,.512,.518,3rd of 5,16.0,,688,662,"2,034,243",27.6,27.9,37,15,J.Santana (7.2),R.Gardenhire (83-79)
2004,MIN,Minnesota Twins,AL Central,162,92,70,0,.568,.540,1st of 5,--,Lost LDS (3-1),780,715,"1,911,490",27.9,28.2,42,18,J.Santana (8.8),R.Gardenhire (92-70)
2003,MIN,Minnesota Twins,AL Central,162,90,72,0,.556,.525,1st of 5,--,Lost LDS (3-1),801,758,"1,946,011",27.3,29.7,42,20,A.Pierzynski (4.5),R.Gardenhire (90-72)
2002,MIN,Minnesota Twins,AL Central,161,94,67,0,.584,.535,1st of 5,--,Lost ALCS (4-1),768,712,"1,924,473",26.8,28.8,42,19,J.Jones (5.4),R.Gardenhire (94-67)
2001,MIN,Minnesota Twins,AL Central,162,85,77,0,.525,.503,2nd of 5,6.0,,771,766,"1,782,929",26.4,27.4,42,21,J.Mays (6.6),T.Kelly (85-77)
2000,MIN,Minnesota Twins,AL Central,162,69,93,0,.426,.426,5th of 5,26.0,,748,880,"1,000,760",26.5,26.6,41,17,B.Radke (6.2),T.Kelly (69-93)
1999,MIN,Minnesota Twins,AL Central,161,63,97,1,.394,.406,5th of 5,33.0,,686,845,"1,202,829",26.8,26.3,37,18,B.Radke (6.5),T.Kelly (63-97)
1998,MIN,Minnesota Twins,AL Central,162,70,92,0,.432,.451,4th of 5,19.0,,734,818,"1,165,976",29.8,28.7,38,17,B.Radke (5.2),T.Kelly (70-92)
1997,MIN,Minnesota Twins,AL Central,162,68,94,0,.420,.450,4th of 5,18.5,,772,861,"1,411,064",29.1,28.1,39,18,C.Knoblauch (6.7),T.Kelly (68-94)
1996,MIN,Minnesota Twins,AL Central,162,78,84,0,.481,.488,4th of 5,21.5,,877,900,"1,437,352",28.4,25.8,38,18,C.Knoblauch (8.6),T.Kelly (78-84)
1995,MIN,Minnesota Twins,AL Central,144,56,88,0,.389,.394,5th of 5,44.0,,703,889,"1,057,667",27.3,25.7,46,22,C.Knoblauch (6.7),T.Kelly (56-88)
1994,MIN,Minnesota Twins,AL Central,113,53,60,0,.469,.433,4th of 5,14.0,,594,688,"1,398,565",28.9,28.1,33,16,C.Knoblauch (4.0),T.Kelly (53-60)
1993,MIN,Minnesota Twins,AL West,162,71,91,0,.438,.418,5th of 7,23.0,,693,830,"2,048,673",29.6,27.5,41,16,C.Knoblauch (3.6),T.Kelly (71-91)
1992,MIN,Minnesota Twins,AL West,162,90,72,0,.556,.561,2nd of 7,6.0,,747,653,"2,482,428",28.7,27.7,39,17,K.Puckett (7.1),T.Kelly (90-72)
1991,MIN,Minnesota Twins,AL West,162,95,67,0,.586,.579,1st of 7,--,Won WS (4-3),776,652,"2,293,842",29.1,28.6,35,16,K.Tapani (6.8),T.Kelly (95-67)
1990,MIN,Minnesota Twins,AL West,162,74,88,0,.457,.459,7th of 7,29.0,,666,729,"1,751,584",29.4,27.1,39,18,G.Gagne (3.2),T.Kelly (74-88)
2016,NYM,New York Mets,NL East,162,87,75,0,.537,.538,2nd of 5,8.0,Lost NLWC (1-0),671,617,"2,789,602",29.5,28.4,46,22,N.Syndergaard (5.9),T.Collins (87-75)
2015,NYM,New York Mets,NL East,162,90,72,0,.556,.549,1st of 5,--,Lost WS (4-1),683,613,"2,569,753",28.6,28.2,49,26,J.deGrom (5.5),T.Collins (90-72)
2014,NYM,New York Mets,NL East,162,79,83,0,.488,.508,2nd of 5,17.0,,629,618,"2,148,808",28.4,28.9,45,22,J.Lagares (5.5),T.Collins (79-83)
2013,NYM,New York Mets,NL East,162,74,88,0,.457,.454,3rd of 5,22.0,,619,684,"2,135,657",28.3,29.1,53,29,D.Wright (5.9),T.Collins (74-88)
2012,NYM,New York Mets,NL East,162,74,88,0,.457,.460,4th of 5,24.0,,650,709,"2,242,803",27.9,30.3,49,28,D.Wright (7.0),T.Collins (74-88)
2011,NYM,New York Mets,NL East,162,77,85,0,.475,.485,4th of 5,25.0,,718,742,"2,352,596",28.0,30.0,46,23,J.Reyes (4.7),T.Collins (77-85)
2010,NYM,New York Mets,NL East,162,79,83,0,.488,.503,4th of 5,18.0,,656,652,"2,559,738",28.4,29.5,47,20,A.Pagan (5.3),J.Manuel (79-83)
2009,NYM,New York Mets,NL East,162,70,92,0,.432,.445,4th of 5,23.0,,671,757,"3,168,571",29.5,29.2,53,24,A.Pagan (4.0),J.Manuel (70-92)
2008,NYM,New York Mets,NL East,162,89,73,0,.549,.551,2nd of 5,3.0,,799,715,"4,042,045",30.1,29.0,50,24,J.Santana (7.2),W.Randolph (34-35) and J.Manuel (55-38)
2007,NYM,New York Mets,NL East,162,88,74,0,.543,.532,2nd of 5,1.0,,804,750,"3,853,955",30.8,31.3,49,24,D.Wright (8.3),W.Randolph (88-74)
2006,NYM,New York Mets,NL East,162,97,65,0,.599,.560,1st of 5,--,Lost NLCS (4-3),834,731,"3,379,535",30.2,32.2,49,27,C.Beltran (8.2),W.Randolph (97-65)
2005,NYM,New York Mets,NL East,162,83,79,0,.512,.549,3rd of 5,7.0,,722,648,"2,829,929",28.8,31.9,42,22,P.Martinez (6.5),W.Randolph (83-79)
2004,NYM,New York Mets,NL East,162,71,91,0,.438,.470,4th of 5,25.0,,684,731,"2,318,951",29.8,32.5,52,26,A.Leiter (4.7),A.Howe (71-91)
2003,NYM,New York Mets,NL East,161,66,95,0,.410,.427,5th of 5,34.5,,642,754,"2,140,599",29.3,31.6,50,25,S.Trachsel (4.5),A.Howe (66-95)
2002,NYM,New York Mets,NL East,161,75,86,0,.466,.491,5th of 5,26.5,,690,703,"2,804,838",30.6,30.3,48,25,E.Alfonzo (5.0),B.Valentine (75-86)
2001,NYM,New York Mets,NL East,162,82,80,0,.506,.452,3rd of 5,6.0,,642,713,"2,658,330",30.5,31.1,44,22,M.Piazza (4.4),B.Valentine (82-80)
2000,NYM,New York Mets,NL East,162,94,68,0,.580,.541,2nd of 5,1.0,Lost WS (4-1),807,738,"2,820,530",30.4,31.0,47,20,E.Alfonzo (6.4),B.Valentine (94-68)
1999,NYM,New York Mets,NL East,163,97,66,0,.595,.583,2nd of 5,6.5,Lost NLCS (4-2),853,711,"2,725,668",30.1,32.7,45,23,R.Ventura (6.7),B.Valentine (97-66)
1998,NYM,New York Mets,NL East,162,88,74,0,.543,.541,2nd of 5,18.0,,706,645,"2,287,948",28.9,31.7,49,19,J.Olerud (7.6),B.Valentine (88-74)
1997,NYM,New York Mets,NL East,162,88,74,0,.543,.542,3rd of 5,13.0,,777,709,"1,766,174",27.3,29.4,45,21,E.Alfonzo (6.2),B.Valentine (88-74)
1996,NYM,New York Mets,NL East,162,71,91,0,.438,.480,4th of 5,25.0,,746,779,"1,588,323",27.2,27.4,40,17,B.Gilkey (8.0),D.Green (59-72) and B.Valentine (12-19)
1995,NYM,New York Mets,NL East,144,69,75,0,.479,.528,2nd of 5,21.0,,657,618,"1,273,183",27.4,27.2,45,22,J.Kent (3.2),D.Green (69-75)
1994,NYM,New York Mets,NL East,113,55,58,0,.487,.482,3rd of 5,18.5,,506,526,"1,151,471",27.8,28.6,37,18,B.Saberhagen (5.7),D.Green (55-58)
1993,NYM,New York Mets,NL East,162,59,103,0,.364,.454,7th of 7,38.0,,672,744,"1,873,183",29.4,29.2,41,19,D.Gooden (4.2),J.Torborg (13-25) and D.Green (46-78)
1992,NYM,New York Mets,NL East,162,72,90,0,.444,.461,5th of 6,24.0,,599,653,"1,779,534",30.0,28.2,44,19,S.Fernandez (6.3),J.Torborg (72-90)
1991,NYM,New York Mets,NL East,161,77,84,0,.478,.496,5th of 6,20.5,,640,646,"2,284,484",29.1,28.0,40,18,D.Cone (4.3),B.Harrelson (74-80) and M.Cubbage (3-4)
1990,NYM,New York Mets,NL East,162,91,71,0,.562,.606,2nd of 6,4.0,,775,613,"2,732,745",27.5,28.0,44,15,F.Viola (6.3),D.Johnson (20-22) and B.Harrelson (71-49)
2016,NYY,New York Yankees,AL East,162,84,78,0,.519,.485,4th of 5,9.0,,680,702,"3,063,405",29.9,27.9,53,29,M.Tanaka (5.2),J.Girardi (84-78)
2015,NYY,New York Yankees,AL East,162,87,75,0,.537,.541,2nd of 5,6.0,Lost ALWC (1-0),764,698,"3,193,795",31.2,27.4,56,33,D.Betances (4.0),J.Girardi (87-75)
2014,NYY,New York Yankees,AL East,162,84,78,0,.519,.478,2nd of 5,12.0,,633,664,"3,401,624",32.5,29.3,58,33,B.Gardner (4.1),J.Girardi (84-78)
2013,NYY,New York Yankees,AL East,162,85,77,0,.525,.485,3rd of 5,12.0,,650,671,"3,279,589",31.8,31.8,56,24,R.Cano (7.8),J.Girardi (85-77)
2012,NYY,New York Yankees,AL East,162,95,67,0,.586,.584,1st of 5,--,Lost ALCS (4-0),804,668,"3,542,406",32.7,30.3,45,23,R.Cano (8.4),J.Girardi (95-67)
2011,NYY,New York Yankees,AL East,162,97,65,0,.599,.624,1st of 5,--,Lost LDS (3-2),867,657,"3,653,680",30.5,31.0,48,28,C.Sabathia (7.0),J.Girardi (97-65)
2010,NYY,New York Yankees,AL East,162,95,67,0,.586,.597,2nd of 5,1.0,Lost ALCS (4-2),859,693,"3,765,807",30.2,30.3,43,21,R.Cano (8.1),J.Girardi (95-67)
2009,NYY,New York Yankees,AL East,162,103,59,0,.636,.588,1st of 5,--,Won WS (4-2),915,753,"3,719,358",30.5,29.3,45,24,D.Jeter (6.5),J.Girardi (103-59)
2008,NYY,New York Yankees,AL East,162,89,73,0,.549,.537,3rd of 5,8.0,,789,727,"4,298,655",31.3,30.6,51,27,A.Rodriguez (6.8),J.Girardi (89-73)
2007,NYY,New York Yankees,AL East,162,94,68,0,.580,.599,2nd of 5,2.0,Lost LDS (3-1),968,777,"4,271,083",30.7,31.4,49,28,A.Rodriguez (9.4),J.Torre (94-68)
2006,NYY,New York Yankees,AL East,162,97,65,0,.599,.587,1st of 5,--,Lost LDS (3-1),930,767,"4,248,067",30.9,32.5,49,25,C.Wang (6.0),J.Torre (97-65)
2005,NYY,New York Yankees,AL East,162,95,67,0,.586,.553,1st of 5,--,Lost LDS (3-2),886,789,"4,090,696",32.4,34.2,51,28,A.Rodriguez (9.4),J.Torre (95-67)
2004,NYY,New York Yankees,AL East,162,101,61,0,.623,.548,1st of 5,--,Lost ALCS (4-3),897,808,"3,775,292",32.3,32.9,43,23,A.Rodriguez (7.6),J.Torre (101-61)
2003,NYY,New York Yankees,AL East,163,101,61,1,.623,.592,1st of 5,--,Lost WS (4-2),877,716,"3,465,600",30.5,33.7,49,23,M.Mussina (6.6),J.Torre (101-61)
2002,NYY,New York Yankees,AL East,161,103,58,0,.640,.613,1st of 5,--,Lost LDS (3-1),897,697,"3,465,807",30.1,33.1,38,17,J.Giambi (7.1),J.Torre (103-58)
2001,NYY,New York Yankees,AL East,161,95,65,1,.594,.555,1st of 5,--,Lost WS (4-3),804,713,"3,264,907",31.1,30.9,47,20,M.Mussina (7.1),J.Torre (95-65)
2000,NYY,New York Yankees,AL East,161,87,74,0,.540,.531,1st of 5,--,Won WS (4-1),871,814,"3,055,435",31.3,32.0,46,22,J.Posada (5.5),J.Torre (87-74)
1999,NYY,New York Yankees,AL East,162,98,64,0,.605,.594,1st of 5,--,Won WS (4-0),900,731,"3,292,736",30.9,31.2,39,18,D.Jeter (8.0),J.Torre (98-64)
1998,NYY,New York Yankees,AL East,162,114,48,0,.704,.670,1st of 5,--,Won WS (4-0),965,656,"2,955,193",30.4,30.2,38,19,D.Jeter (7.5),J.Torre (114-48)
1997,NYY,New York Yankees,AL East,162,96,66,0,.593,.616,2nd of 5,2.0,Lost LDS (3-2),891,688,"2,580,325",30.5,29.6,41,18,A.Pettitte (8.4),J.Torre (96-66)
1996,NYY,New York Yankees,AL East,162,92,70,0,.568,.546,1st of 5,--,Won WS (4-2),871,787,"2,250,877",30.1,29.3,48,24,A.Pettitte (5.6),J.Torre (92-70)
1995,NYY,New York Yankees,AL East,145,79,65,1,.549,.539,2nd of 5,7.0,Lost LDS (3-2),749,688,"1,705,263",31.0,28.1,42,20,B.Williams (6.4),B.Showalter (79-65)
1994,NYY,New York Yankees,AL East,113,70,43,0,.619,.602,1st of 5,--,,670,534,"1,675,556",30.5,29.8,36,17,W.Boggs (4.5),B.Showalter (70-43)
1993,NYY,New York Yankees,AL East,162,88,74,0,.543,.535,2nd of 7,7.0,,821,761,"2,416,942",29.7,28.9,41,22,J.Key (6.3),B.Showalter (88-74)
1992,NYY,New York Yankees,AL East,162,76,86,0,.469,.492,4th of 7,20.0,,733,746,"1,748,737",28.3,29.5,40,19,M.Perez (5.9),B.Showalter (76-86)
1991,NYY,New York Yankees,AL East,162,71,91,0,.438,.435,5th of 7,20.0,,674,777,"1,863,733",27.8,29.5,40,20,S.Sax (4.1),S.Merrill (71-91)
1990,NYY,New York Yankees,AL East,162,67,95,0,.414,.402,7th of 7,21.0,,603,749,"2,006,436",28.2,29.1,43,20,R.Kelly (5.4),B.Dent (18-31) and S.Merrill (49-64)
